stamp,x,y,z,roll,pitch,yaw
1715322432.721744,0.250000,0.000000,0.000000,0.000000,0.000000,0.026180
1715322432.772070,0.499914,0.006544,0.000000,0.000000,0.000000,0.052360
1715322432.822390,0.749572,0.019628,0.000000,0.000000,0.000000,0.078540
1715322432.872676,0.998801,0.039243,0.000000,0.000000,0.000000,0.104720
1715322432.923055,1.247432,0.065375,0.000000,0.000000,0.000000,0.130900
1715322432.973467,1.495293,0.098007,0.000000,0.000000,0.000000,0.157080
1715322433.023846,1.742215,0.137115,0.000000,0.000000,0.000000,0.183260
1715322433.074232,1.988029,0.182674,0.000000,0.000000,0.000000,0.209440
1715322433.124787,2.232565,0.234652,0.000000,0.000000,0.000000,0.235619
1715322433.175253,2.475658,0.293013,0.000000,0.000000,0.000000,0.261799
1715322433.225647,2.717139,0.357718,0.000000,0.000000,0.000000,0.287979
1715322433.276044,2.956844,0.428722,0.000000,0.000000,0.000000,0.314159
1715322433.326481,3.194608,0.505976,0.000000,0.000000,0.000000,0.340339
1715322433.376816,3.430269,0.589428,0.000000,0.000000,0.000000,0.366519
1715322433.427150,3.663664,0.679020,0.000000,0.000000,0.000000,0.392699
1715322433.477520,3.894634,0.774691,0.000000,0.000000,0.000000,0.418879
1715322433.527900,4.123020,0.876375,0.000000,0.000000,0.000000,0.445059
1715322433.578363,4.348666,0.984003,0.000000,0.000000,0.000000,0.471239
1715322433.628758,4.571418,1.097500,0.000000,0.000000,0.000000,0.497419
1715322433.679270,4.791122,1.216790,0.000000,0.000000,0.000000,0.523599
1715322433.729664,5.007629,1.341790,0.000000,0.000000,0.000000,0.549779
1715322433.780072,5.220789,1.472415,0.000000,0.000000,0.000000,0.575959
1715322433.830424,5.430456,1.608574,0.000000,0.000000,0.000000,0.602139
1715322433.880981,5.636488,1.750176,0.000000,0.000000,0.000000,0.628319
1715322433.931359,5.838742,1.897122,0.000000,0.000000,0.000000,0.654498
1715322433.981934,6.037081,2.049313,0.000000,0.000000,0.000000,0.680678
1715322434.032405,6.231367,2.206643,0.000000,0.000000,0.000000,0.706858
1715322434.082785,6.421469,2.369005,0.000000,0.000000,0.000000,0.733038
1715322434.133283,6.607255,2.536287,0.000000,0.000000,0.000000,0.759218
1715322434.183985,6.788598,2.708376,0.000000,0.000000,0.000000,0.785398
1715322434.234400,6.965375,2.885153,0.000000,0.000000,0.000000,0.811578
1715322434.284992,7.137464,3.066496,0.000000,0.000000,0.000000,0.837758
1715322434.335376,7.304746,3.252283,0.000000,0.000000,0.000000,0.863938
1715322434.385817,7.467108,3.442384,0.000000,0.000000,0.000000,0.890118
1715322434.436476,7.624438,3.636671,0.000000,0.000000,0.000000,0.916298
1715322434.486826,7.776629,3.835009,0.000000,0.000000,0.000000,0.942478
1715322434.537226,7.923575,4.037263,0.000000,0.000000,0.000000,0.968658
1715322434.587729,8.065177,4.243295,0.000000,0.000000,0.000000,0.994838
1715322434.638118,8.201336,4.452962,0.000000,0.000000,0.000000,1.021018
1715322434.688591,8.331961,4.666122,0.000000,0.000000,0.000000,1.047198
1715322434.738968,8.456961,4.882629,0.000000,0.000000,0.000000,1.073377
1715322434.789681,8.576251,5.102333,0.000000,0.000000,0.000000,1.099557
1715322434.840273,8.689748,5.325085,0.000000,0.000000,0.000000,1.125737
1715322434.890904,8.797376,5.550731,0.000000,0.000000,0.000000,1.151917
1715322434.941303,8.899060,5.779117,0.000000,0.000000,0.000000,1.178097
1715322434.991949,8.994731,6.010087,0.000000,0.000000,0.000000,1.204277
1715322435.042334,9.084323,6.243482,0.000000,0.000000,0.000000,1.230457
1715322435.093010,9.167775,6.479143,0.000000,0.000000,0.000000,1.256637
1715322435.143619,9.245029,6.716907,0.000000,0.000000,0.000000,1.282817
1715322435.194063,9.316033,6.956612,0.000000,0.000000,0.000000,1.308997
1715322435.244461,9.380738,7.198093,0.000000,0.000000,0.000000,1.335177
1715322435.295005,9.439099,7.441186,0.000000,0.000000,0.000000,1.361357
1715322435.345531,9.491077,7.685723,0.000000,0.000000,0.000000,1.387537
1715322435.396608,9.536636,7.931536,0.000000,0.000000,0.000000,1.413717
1715322435.447025,9.575744,8.178458,0.000000,0.000000,0.000000,1.439897
1715322435.497494,9.608376,8.426320,0.000000,0.000000,0.000000,1.466077
1715322435.548080,9.634508,8.674950,0.000000,0.000000,0.000000,1.492257
1715322435.598589,9.654123,8.924179,0.000000,0.000000,0.000000,1.518436
1715322435.649308,9.667207,9.173837,0.000000,0.000000,0.000000,1.544616
1715322435.700188,9.673751,9.423751,0.000000,0.000000,0.000000,1.570796
1715322435.750606,9.673751,9.673751,0.000000,0.000000,0.000000,1.596976
1715322435.801363,9.667207,9.923665,0.000000,0.000000,0.000000,1.623156
1715322435.851871,9.654123,10.173323,0.000000,0.000000,0.000000,1.649336
1715322435.902299,9.634508,10.422552,0.000000,0.000000,0.000000,1.675516
1715322435.952836,9.608376,10.671183,0.000000,0.000000,0.000000,1.701696
1715322436.003309,9.575744,10.919044,0.000000,0.000000,0.000000,1.727876
1715322436.053771,9.536636,11.165966,0.000000,0.000000,0.000000,1.754056
1715322436.104571,9.491077,11.411780,0.000000,0.000000,0.000000,1.780236
1715322436.155053,9.439099,11.656317,0.000000,0.000000,0.000000,1.806416
1715322436.205693,9.380738,11.899409,0.000000,0.000000,0.000000,1.832596
1715322436.256351,9.316033,12.140891,0.000000,0.000000,0.000000,1.858776
1715322436.306994,9.245029,12.380595,0.000000,0.000000,0.000000,1.884956
1715322436.357487,9.167775,12.618360,0.000000,0.000000,0.000000,1.911136
1715322436.408058,9.084323,12.854020,0.000000,0.000000,0.000000,1.937315
1715322436.458731,8.994731,13.087415,0.000000,0.000000,0.000000,1.963495
1715322436.509314,8.899060,13.318385,0.000000,0.000000,0.000000,1.989675
1715322436.559664,8.797376,13.546771,0.000000,0.000000,0.000000,2.015855
1715322436.610090,8.689748,13.772418,0.000000,0.000000,0.000000,2.042035
1715322436.660635,8.576251,13.995169,0.000000,0.000000,0.000000,2.068215
1715322436.711129,8.456961,14.214874,0.000000,0.000000,0.000000,2.094395
1715322436.761655,8.331961,14.431380,0.000000,0.000000,0.000000,2.120575
1715322436.812320,8.201336,14.644540,0.000000,0.000000,0.000000,2.146755
1715322436.862679,8.065177,14.854208,0.000000,0.000000,0.000000,2.172935
1715322436.913186,7.923575,15.060239,0.000000,0.000000,0.000000,2.199115
1715322436.963576,7.776629,15.262493,0.000000,0.000000,0.000000,2.225295
1715322437.013933,7.624438,15.460832,0.000000,0.000000,0.000000,2.251475
1715322437.064287,7.467108,15.655118,0.000000,0.000000,0.000000,2.277655
1715322437.114716,7.304746,15.845220,0.000000,0.000000,0.000000,2.303835
1715322437.165110,7.137464,16.031006,0.000000,0.000000,0.000000,2.330015
1715322437.215768,6.965375,16.212350,0.000000,0.000000,0.000000,2.356194
1715322437.266238,6.788598,16.389126,0.000000,0.000000,0.000000,2.382374
1715322437.316728,6.607255,16.561215,0.000000,0.000000,0.000000,2.408554
1715322437.367193,6.421469,16.728498,0.000000,0.000000,0.000000,2.434734
1715322437.417763,6.231367,16.890860,0.000000,0.000000,0.000000,2.460914
1715322437.468190,6.037081,17.048190,0.000000,0.000000,0.000000,2.487094
1715322437.518661,5.838742,17.200380,0.000000,0.000000,0.000000,2.513274
1715322437.569249,5.636488,17.347326,0.000000,0.000000,0.000000,2.539454
1715322437.619891,5.430456,17.488928,0.000000,0.000000,0.000000,2.565634
1715322437.670364,5.220789,17.625088,0.000000,0.000000,0.000000,2.591814
1715322437.720808,5.007629,17.755712,0.000000,0.000000,0.000000,2.617994
1715322437.771186,4.791122,17.880712,0.000000,0.000000,0.000000,2.644174
1715322437.821821,4.571418,18.000002,0.000000,0.000000,0.000000,2.670354
1715322437.872243,4.348666,18.113500,0.000000,0.000000,0.000000,2.696534
1715322437.922655,4.123020,18.221127,0.000000,0.000000,0.000000,2.722714
1715322437.973088,3.894634,18.322811,0.000000,0.000000,0.000000,2.748894
1715322438.023482,3.663664,18.418482,0.000000,0.000000,0.000000,2.775074
1715322438.073870,3.430269,18.508074,0.000000,0.000000,0.000000,2.801253
1715322438.124317,3.194608,18.591526,0.000000,0.000000,0.000000,2.827433
1715322438.174816,2.956844,18.668780,0.000000,0.000000,0.000000,2.853613
1715322438.225186,2.717139,18.739784,0.000000,0.000000,0.000000,2.879793
1715322438.275563,2.475658,18.804489,0.000000,0.000000,0.000000,2.905973
1715322438.325921,2.232565,18.862850,0.000000,0.000000,0.000000,2.932153
1715322438.376426,1.988029,18.914828,0.000000,0.000000,0.000000,2.958333
1715322438.426848,1.742215,18.960387,0.000000,0.000000,0.000000,2.984513
